name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate
liraglutide,475968,1860172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector,SBD,direct,1860172,169291115,201701,202603
liraglutide,475968,1860172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector,SBD,direct,1860172,169291190,201701,202603
liraglutide,475968,1860172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector,SBD,direct,1860172,169291197,201701,202603
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406012,201002,202603
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406013,201002,202603
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406090,201003,202603
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406097,201012,202004
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406098,201305,202004
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406099,201503,202603
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,50090285300,201703,202603
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,50090450300,201911,202603
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,54569650700,201407,201706
liraglutide,475968,2735350,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Weight Management Pen Injector,SCD,direct,2735350,480725019,202603,202603
liraglutide,475968,2735350,Weight Management 3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Weight Management Pen Injector,SCD,direct,2735350,480725046,202603,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,143914401,202502,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,143914402,202501,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,143914403,202501,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480366719,202408,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480366720,202408,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480366722,202408,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480725019,202510,202602
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480725046,202510,202602
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,14403340001,202501,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,14403340002,202501,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,14403340003,202501,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,50090750100,202503,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,69097092067,202602,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,69097092068,202602,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,70748034601,202512,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,70748034602,202510,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,70748034603,202510,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,71288056383,202505,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,71288056384,202505,202603
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,71288056385,202505,202603
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576101,202001,202603
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576102,202005,202603
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576105,201612,202603
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576302,201702,202603
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413211,201801,202603
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413212,201801,202603
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413290,201801,202510
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413297,201801,202510
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,50090513800,202010,202307
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,70518214300,201907,202208
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431401,201910,202603
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431413,201910,202603
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431430,202106,202603
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430301,201910,202603
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430313,201910,202603
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430330,202106,202603
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430390,201910,202603
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430393,201910,202603
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430399,202106,202603
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430701,201910,202603
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430713,201910,202603
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430730,202106,202603
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,169413001,202011,202603
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,169413013,202011,202603
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,50090594900,202206,202603
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452501,202107,202603
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452514,202107,202603
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452590,202107,202603
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452594,202107,202603
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,50090582400,202112,202603
semaglutide,1991302,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],Wegovy 0.5 MG per 0.5 ML Auto-Injector,SBD,direct,2553603,169450501,202107,202603
semaglutide,1991302,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],Wegovy 0.5 MG per 0.5 ML Auto-Injector,SBD,direct,2553603,169450514,202107,202603
semaglutide,1991302,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],Wegovy 1 MG per 0.5 ML Auto-Injector,SBD,direct,2553803,169450101,202107,202603
semaglutide,1991302,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],Wegovy 1 MG per 0.5 ML Auto-Injector,SBD,direct,2553803,169450114,202107,202603
semaglutide,1991302,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],Wegovy 1.7 MG per 0.75 ML Auto-Injector,SBD,direct,2553903,169451701,202107,202603
semaglutide,1991302,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],Wegovy 1.7 MG per 0.75 ML Auto-Injector,SBD,direct,2553903,169451714,202107,202603
semaglutide,1991302,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],Wegovy 2.4 MG per 0.75 ML Auto-Injector,SBD,direct,2554104,169452401,202107,202603
semaglutide,1991302,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],Wegovy 2.4 MG per 0.75 ML Auto-Injector,SBD,direct,2554104,169452414,202107,202603
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477211,202205,202603
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477212,202205,202603
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477290,202207,202603
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477297,202207,202603
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,50090605100,202209,202603
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418103,202211,202603
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418113,202211,202603
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418190,202211,202603
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418197,202211,202603
semaglutide,1991302,2707549,semaglutide 1.5 MG Oral Tablet [Rybelsus],Rybelsus 1.5 MG Oral Tablet,SBD,direct,2707549,169481530,202504,202603
semaglutide,1991302,2707549,semaglutide 1.5 MG Oral Tablet [Rybelsus],Rybelsus 1.5 MG Oral Tablet,SBD,direct,2707549,169481590,202504,202603
semaglutide,1991302,2707553,semaglutide 4 MG Oral Tablet [Rybelsus],Rybelsus 4 MG Oral Tablet,SBD,direct,2707553,169480430,202504,202603
semaglutide,1991302,2707557,semaglutide 9 MG Oral Tablet [Rybelsus],Rybelsus 9 MG Oral Tablet,SBD,direct,2707557,169480930,202504,202603
semaglutide,1991302,2730161,semaglutide 1.5 MG Oral Tablet [Wegovy],Wegovy 1.5 MG Oral Tablet,SBD,direct,2730161,169441531,202602,202603
semaglutide,1991302,2730161,semaglutide 1.5 MG Oral Tablet [Wegovy],Wegovy 1.5 MG Oral Tablet,SBD,direct,2730161,169441592,202602,202603
semaglutide,1991302,2730165,semaglutide 25 MG Oral Tablet [Wegovy],Wegovy 25 MG Oral Tablet,SBD,direct,2730165,169442531,202602,202603
semaglutide,1991302,2730167,semaglutide 4 MG Oral Tablet [Wegovy],Wegovy 4 MG Oral Tablet,SBD,direct,2730167,169440431,202602,202603
semaglutide,1991302,2730169,semaglutide 9 MG Oral Tablet [Wegovy],Wegovy 9 MG Oral Tablet,SBD,direct,2730169,169440931,202602,202603
tirzepatide,2601723,2601746,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Mounjaro],0.5 ML Mounjaro 10 MG/ML Auto-Injector,SBD,direct,2601746,2149501,202206,202603
