"","name","F1_rxnormId","F2_rxcui","F2_name","F2_synonym","F2_tty","F3_status","F3_rxcui","F3_ndc","F3_startDate","F3_endDate"
"67","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"00143914401",202502,202603
"68","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"00143914402",202501,202603
"69","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"00143914403",202501,202603
"70","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"00480366719",202408,202603
"71","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"00480366720",202408,202603
"72","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"00480366722",202408,202603
"73","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"14403340001",202501,202603
"74","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"14403340002",202501,202603
"75","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"14403340003",202501,202603
"76","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"50090750100",202503,202603
"77","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"69097092067",202602,202603
"78","liraglutide",475968,897122,"3 ML liraglutide 6 MG/ML Pen Injector","liraglutide 18 MG per 3 ML Pen Injector","SCD","direct",897122,"69097092068",202602,202603
