name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate,Brand Name
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431401,201910,202503,Rybelsus
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431413,201910,202503,Rybelsus
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431430,202106,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430301,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430313,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430330,202106,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430390,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430393,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430399,202106,202503,Rybelsus
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430701,201910,202503,Rybelsus
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430713,201910,202503,Rybelsus
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430730,202106,202503,Rybelsus
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,169413001,202011,202503,Ozempic
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,169413013,202011,202503,Ozempic
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,50090594900,202206,202503,Ozempic
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452501,202107,202503,Wegovy
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452514,202107,202503,Wegovy
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452590,202107,202503,Wegovy
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452594,202107,202503,Wegovy
